                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3572,                 4.2841,                 4.1348,                0.00176,                0.42851,                0.00645,                0.00151,                 3.1991,                  4.123,                 4.7496,             0.00047132,             0.00047132,             0.00047132
                      2,                 3.1266,                 4.0308,                 3.7442,                0.03961,                0.07893,                0.01543,                 0.0035,                 3.0367,                 4.0736,                 3.6182,              0.0009414,              0.0009414,              0.0009414
                      3,                 2.8126,                 3.7605,                 3.3441,                0.04812,                0.21533,                0.02711,                0.00683,                 2.7765,                 5.4552,                 3.3333,              0.0014052,              0.0014052,              0.0014052
                      4,                 2.6675,                 3.5935,                 3.1422,                0.05402,                0.22194,                0.02878,                0.00773,                 2.6739,                 4.2031,                 3.1403,              0.0014007,              0.0014007,              0.0014007
                      5,                 2.5504,                  3.378,                 2.9995,                0.07916,                0.27261,                0.03785,                0.01014,                 2.4939,                 4.1796,                  2.968,              0.0014007,              0.0014007,              0.0014007
                      6,                 2.4437,                 3.2705,                  2.877,                0.05683,                 0.2042,                0.04504,                0.01226,                 2.4491,                 3.6707,                 2.9085,              0.0013913,              0.0013913,              0.0013913
                      7,                  2.309,                 3.0773,                 2.7507,                0.13987,                0.26304,                 0.1125,                0.03251,                 2.3395,                 3.1656,                 2.7947,              0.0013818,              0.0013818,              0.0013818
                      8,                 2.2583,                 2.9677,                 2.6864,                 0.1084,                0.22775,                0.08162,                0.02779,                  2.331,                 3.7607,                 2.8292,              0.0013724,              0.0013724,              0.0013724
                      9,                 2.1825,                 2.8478,                 2.5901,                0.20301,                 0.3825,                0.16351,                0.05689,                 2.2296,                 3.1505,                 2.6854,               0.001363,               0.001363,               0.001363
                     10,                 2.1189,                 2.7562,                 2.5177,                0.15817,                0.43786,                0.19266,                0.06345,                 2.1519,                 3.3297,                 2.6117,              0.0013535,              0.0013535,              0.0013535
                     11,                 2.0529,                 2.7015,                 2.4594,                0.24867,                0.32014,                0.23566,                0.08462,                 2.1682,                  2.685,                 2.6326,              0.0013441,              0.0013441,              0.0013441
                     12,                  2.035,                 2.5593,                 2.3898,                0.26028,                0.46577,                0.33077,                0.12138,                 2.0241,                 2.7486,                 2.4954,              0.0013347,              0.0013347,              0.0013347
                     13,                 1.9573,                 2.4455,                 2.3278,                0.38639,                0.43533,                0.34897,                0.13837,                 1.9993,                 2.2707,                 2.4263,              0.0013253,              0.0013253,              0.0013253
